date,6am,12pm,6pm,12am,electricVehicleCharging,hotWaterHeater,poolPump,heatPump
1/1/2023,1.8,3.5,2.1,1.2,TRUE,TRUE,FALSE,FALSE  
1/2/2023,2.0,4.2,2.3,1.0,TRUE,TRUE,FALSE,TRUE
1/3/2023,1.6,3.8,2.5,0.9,FALSE,TRUE,FALSE,FALSE
1/4/2023,2.2,4.0,2.4,1.1,TRUE,TRUE,FALSE,FALSE
1/5/2023,1.5,3.7,2.2,1.0,FALSE,TRUE,FALSE,FALSE  
1/6/2023,1.7,3.9,2.6,0.8,TRUE,TRUE,FALSE,TRUE
1/7/2023,2.1,4.5,2.8,1.3,TRUE,TRUE,TRUE,FALSE
1/8/2023,1.9,4.2,2.5,1.1,FALSE,TRUE,TRUE,FALSE
1/9/2023,1.8,3.6,2.3,0.9,FALSE,TRUE,FALSE,TRUE
1/10/2023,2.0,4.1,2.4,1.0,TRUE,TRUE,FALSE,FALSE
1/11/2023,2.1,4.3,2.6,1.2,TRUE,TRUE,FALSE,TRUE  
1/12/2023,1.7,3.9,2.5,1.1,FALSE,TRUE,FALSE,FALSE
1/13/2023,1.6,3.7,2.3,0.8,FALSE,TRUE,FALSE,TRUE
1/14/2023,2.0,4.1,2.6,1.0,TRUE,TRUE,FALSE,FALSE
1/15/2023,1.9,4.0,2.4,1.1,TRUE,TRUE,FALSE,FALSE
1/16/2023,1.8,3.8,2.3,0.9,FALSE,TRUE,FALSE,TRUE
1/17/2023,1.6,3.6,2.2,1.0,FALSE,TRUE,FALSE,FALSE
1/18/2023,1.9,4.0,2.5,0.8,TRUE,TRUE,FALSE,FALSE  
1/19/2023,2.0,4.3,2.7,1.1,TRUE,TRUE,FALSE,TRUE 
1/20/2023,2.2,4.6,2.9,1.3,TRUE,TRUE,TRUE,FALSE
1/21/2023,2.1,4.4,2.8,1.2,FALSE,TRUE,TRUE,FALSE
1/22/2023,1.7,3.9,2.4,0.9,FALSE,TRUE,FALSE,TRUE
1/23/2023,1.9,4.1,2.6,1.0,TRUE,TRUE,FALSE,FALSE
1/24/2023,2.0,4.3,2.7,1.1,TRUE,TRUE,FALSE,TRUE
1/25/2023,2.3,4.7,3.0,1.2,TRUE,TRUE,TRUE,FALSE 
1/26/2023,1.8,4.0,2.5,1.0,FALSE,TRUE,TRUE,FALSE
1/27/2023,1.6,3.7,2.4,0.9,FALSE,TRUE,FALSE,TRUE
1/28/2023,2.1,4.2,2.7,1.1,TRUE,TRUE,FALSE,FALSE
1/29/2023,2.4,4.8,3.1,1.3,TRUE,TRUE,FALSE,TRUE
1/30/2023,2.2,4.5,2.9,1.2,TRUE,TRUE,FALSE,FALSE
1/31/2023,1.9,4.1,2.6,1.0,FALSE,TRUE,FALSE,FALSE
